index	name	kind
508	AppInstallInput	INPUT_OBJECT
509	AppPurchaseOneTimeCreatePayload	OBJECT
510	AppCreditCreatePayload	OBJECT
511	AppSubscriptionCreatePayload	OBJECT
512	AppSubscriptionLineItemInput	INPUT_OBJECT
513	AppPlanInput	INPUT_OBJECT
514	AppUsagePricingInput	INPUT_OBJECT
515	AppRecurringPricingInput	INPUT_OBJECT
516	AppSubscriptionCancelPayload	OBJECT
517	AppUninstallInput	INPUT_OBJECT
518	AppUsageRecordCreatePayload	OBJECT
519	AppSubscriptionLineItemUpdatePayload	OBJECT
520	ResourceExportableType	ENUM
521	ExportFormat	ENUM
522	BulkOperationCancelPayload	OBJECT
523	BulkOperationRunQueryPayload	OBJECT
524	CollectionCreatePayload	OBJECT
525	CollectionInput	INPUT_OBJECT
526	ImageInput	INPUT_OBJECT
527	CollectionPublicationInput	INPUT_OBJECT
528	PrivateMetafieldInput	INPUT_OBJECT
529	PrivateMetafieldValueInput	INPUT_OBJECT
530	CollectionRuleSetInput	INPUT_OBJECT
531	CollectionRuleInput	INPUT_OBJECT
532	MetafieldInput	INPUT_OBJECT
533	SEOInput	INPUT_OBJECT
534	CollectionDeletePayload	OBJECT
535	CollectionDeleteInput	INPUT_OBJECT
536	CollectionUpdatePayload	OBJECT
537	CollectionPublishPayload	OBJECT
538	CollectionPublishInput	INPUT_OBJECT
539	CollectionUnpublishPayload	OBJECT
540	CollectionUnpublishInput	INPUT_OBJECT
541	CollectionAddProductsPayload	OBJECT
542	CollectionRemoveProductsPayload	OBJECT
543	CollectionReorderProductsPayload	OBJECT
544	MoveInput	INPUT_OBJECT
545	CustomFulfillmentServiceCreateInput	INPUT_OBJECT
546	WeightInput	INPUT_OBJECT
547	CustomerAddTaxExemptionsPayload	OBJECT
548	CustomerCreatePayload	OBJECT
549	CustomerInput	INPUT_OBJECT
550	CustomerDeletePayload	OBJECT
551	CustomerDeleteInput	INPUT_OBJECT
552	CustomerRemoveTaxExemptionsPayload	OBJECT
553	CustomerReplaceTaxExemptionsPayload	OBJECT
554	EmailInput	INPUT_OBJECT
